Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
CNG,2025,8,98225,60 Days,13440.01
PSE,2023,8,98372,30 Days,127631.44
Avista,2021,1,99129,30 Days,3527.74
CNG,2020,12,98229,60 Days,12216.0
PSE,2020,5,98177,90 Days +,13976.79
PSE,2022,6,98366,90 Days +,734864.239999999
PSE,2020,5,98340,Total Arrearages,38183.88
Avista,2024,6,99179,Total Arrearages,4543.02
PAC,2020,8,99360,90 Days +,10025.2
Avista,2025,7,99008,30 Days,1263.48
PSE,2022,12,98236,90 Days +,103608.109999999
PSE,2024,3,98310,90 Days +,662068.46
NWN,2025,3,98119,60 Days,0.0
PSE,2024,8,98136,60 Days,8459.23
PSE,2020,7,98208,60 Days,17372.67
PSE,2020,11,98342,30 Days,2900.83
PSE,2020,7,98290,60 Days,3320.33
PSE,2022,1,98531,Total Arrearages,150509.93
PSE,2023,2,98270,Total Arrearages,698847.6
Avista,2022,2,99109,Total Arrearages,80100.45
PSE,2024,6,98387,Total Arrearages,928275.129999998
Avista,2025,1,99148,30 Days,15702.77
PSE,2023,2,98026,Total Arrearages,262606.28
PSE,2023,6,98072,Total Arrearages,421597.029999999
PSE,2021,6,98070,90 Days +,113681.88
PSE,2023,5,98338,60 Days,105580.21
NWN,2024,8,98612,Total Arrearages,0.0
PSE,2024,5,98012,30 Days,80739.83
PSE,2023,11,98943,30 Days,3969.59
CNG,2024,9,99336,Total Arrearages,31747.65
NWN,2024,3,98629,60 Days,11027.79
Avista,2023,11,99344,Total Arrearages,75722.62
Avista,2022,1,99113,90 Days +,2574.14
CNG,2024,2,98908,90 Days +,39542.59
PSE,2021,2,98941,60 Days,4406.63
PSE,2022,3,98029,90 Days +,183178.31
Avista,2021,1,99019,30 Days,31169.23
Avista,2021,5,99020,30 Days,249.93
PSE,2020,5,98050,Total Arrearages,6306.74
CNG,2023,1,98271,60 Days,4299.02
PSE,2023,10,98230,Total Arrearages,427872.99
PSE,2024,8,98589,90 Days +,278926.74
Avista,2021,8,99114,60 Days,18252.6
Avista,2021,11,99030,Total Arrearages,19920.71
PAC,2024,8,99360,60 Days,3068.15
PAC,2021,12,98937,30 Days,26899.6
Avista,2025,6,99131,Total Arrearages,1647.02
Avista,2022,7,99109,60 Days,7706.09
PSE,2022,9,98396,30 Days,82.11
PSE,2021,4,98198,30 Days,220914.77
PAC,2025,9,98908,30 Days,728424.81
Avista,2022,9,99006,60 Days,6737.56
Avista,2023,7,99205,30 Days,110795.11
Avista,2022,1,99040,60 Days,1358.78
PSE,2020,11,98134,90 Days +,5150.61
Avista,2025,4,99341,30 Days,4467.01
NWN,2023,4,98601,Total Arrearages,0.0
Avista,2025,2,99138,60 Days,7236.1
CNG,2024,7,98944,Total Arrearages,49906.42
PSE,2023,12,98591,90 Days +,6749.31
Avista,2023,5,99167,90 Days +,3895.55
Avista,2024,10,99107,60 Days,0.0
PSE,2021,2,98946,30 Days,4338.23
PSE,2020,4,98512,60 Days,59351.26
NWN,2022,8,98672,30 Days,2766.26
CNG,2020,6,98226,Total Arrearages,87028.35
PSE,2025,7,98022,60 Days,76296.67
PSE,2024,1,98006,60 Days,51426.39
Avista,2023,3,99146,30 Days,30.09
PSE,2025,2,98422,90 Days +,78595.07
PSE,2022,4,98271,60 Days,19420.23
PSE,2023,2,98402,60 Days,1200.27
Avista,2023,12,99005,30 Days,14941.28
NWN,2021,4,97388,60 Days,0.0
PSE,2024,10,98220,60 Days,3938.46
PSE,2025,7,98050,90 Days +,3509.79
PSE,2021,5,98346,90 Days +,109077.38
CNG,2024,4,99324,60 Days,8526.26
Avista,2023,2,99161,60 Days,8332.75
NWN,2023,10,98635,60 Days,0.0
PSE,2020,4,98501,30 Days,157297.27
PSE,2022,3,98499,90 Days +,106436.63
PSE,2025,1,98294,30 Days,24048.25
PSE,2021,11,98499,30 Days,18385.19
Avista,2023,11,99101,90 Days +,12855.57
PSE,2023,8,98258,30 Days,41622.68
PSE,2025,3,98247,Total Arrearages,440318.89
Avista,2021,1,99202,30 Days,74550.11
Avista,2023,10,99013,60 Days,6726.29
PAC,2025,9,98942,60 Days,140965.48
PSE,2024,11,98006,30 Days,76363.0
NWN,2020,4,98307,60 Days,0.0
PSE,2021,2,98168,30 Days,43430.66
CNG,2023,4,98221,Total Arrearages,121080.98
Avista,2022,8,99025,Total Arrearages,31151.44
PSE,2021,11,98030,60 Days,98478.43
Avista,2022,2,99203,60 Days,46008.24
Avista,2024,1,99129,30 Days,5133.17
NWN,2025,9,98668,60 Days,0.0
PAC,2025,9,99362,60 Days,108595.73
CNG,2023,1,98274,60 Days,5860.93
NWN,2022,6,98626,30 Days,0.0
Avista,2020,10,99205,30 Days,86335.08
PSE,2020,10,98407,Total Arrearages,58403.83
PSE,2025,6,98012,60 Days,47767.68
PSE,2024,7,98392,60 Days,19161.21
NWN,2023,11,98119,Total Arrearages,7635.33
PSE,2024,12,98043,30 Days,13628.04
PSE,2025,8,98589,60 Days,54483.33
NWN,2020,11,98683,Total Arrearages,30873.99
Avista,2023,6,99006,30 Days,11489.31
PSE,2022,5,98107,60 Days,26081.16
Avista,2020,7,99107,Total Arrearages,0.0
CNG,2025,7,98524,Total Arrearages,513.0
CNG,2023,3,98903,90 Days +,9987.34
NWN,2020,11,98127,60 Days,0.0
PAC,2024,11,99323,60 Days,4143.64
PSE,2021,2,98270,90 Days +,96866.35
PSE,2020,3,98332,60 Days,5032.86
PSE,2022,6,98108,30 Days,29620.35
Avista,2024,7,99013,90 Days +,42051.87
Avista,2020,7,99223,60 Days,39336.27
PSE,2020,9,98074,60 Days,9665.49
PSE,2021,9,98110,Total Arrearages,277806.0
CNG,2021,2,99352,30 Days,25745.19
NWN,2023,11,98026,60 Days,6974.24
Avista,2024,9,99023,30 Days,347.94
PAC,2024,2,98937,30 Days,86009.42
Avista,2025,10,99341,90 Days +,5098.86
PAC,2021,3,98953,60 Days,50385.27
Avista,2022,10,99144,30 Days,0.0
