Utility,Zip Code,Month,Arrearage Count
PSE,98047,2021-07-01,892
CNG,99301,2022-12-01,1856
NWN,98606,2022-10-01,34
PSE,98056,2024-01-01,2834
CNG,98276,2024-11-01,33
PSE,98118,2024-07-01,1596
Avista,99326,2023-04-01,26
NWN,98668,2024-05-01,0
CNG,98232,2023-03-01,5
Avista,99006,2022-03-01,220
PSE,98221,2022-03-01,1511
Avista,99220,2025-03-01,0
NWN,98606,2022-06-01,61
PSE,98943,2022-07-01,71
NWN,98307,2024-03-01,0
PSE,98051,2023-10-01,258
CNG,98674,2022-11-01,99
Avista,99218,2022-05-01,590
PSE,98233,2024-07-01,957
Avista,99202,2025-01-01,980
PAC,98937,2022-03-01,420
NWN,98661,2024-06-01,802
Avista,99143,2024-08-01,8
PSE,98388,2024-12-01,138
Avista,99103,2023-02-01,22
PSE,98294,2022-09-01,367
PSE,98344,2025-06-01,5
PSE,98226,2023-03-01,3450
PSE,98109,2024-04-01,391
PSE,98262,2021-03-01,112
PSE,98335,2023-05-01,291
PSE,98220,2022-07-01,42
CNG,98626,2022-04-01,71
PSE,98296,2024-07-01,444
Avista,99137,2023-12-01,35
CNG,98282,2024-02-01,37
PSE,98284,2022-10-01,1671
PSE,98512,2024-03-01,2400
PSE,98033,2023-03-01,1611
Avista,99223,2022-01-01,1423
PSE,98239,2021-07-01,590
PAC, 98935  ,2024-08-01,150
CNG,98908,2024-12-01,557
PSE,98367,2021-06-01,1333
PSE,98232,2022-05-01,156
PSE,98390,2024-04-01,1054
Avista,99149,2024-02-01,7
PSE,98119,2021-01-01,368
Avista,99009,2023-02-01,96
PSE,98249,2021-03-01,171
NWN,98307,2023-07-01,0
Avista,98648,2023-09-01,28
PSE,98092,2021-05-01,3947
PSE,98118,2023-10-01,1656
PSE,98332,2021-10-01,262
Avista,99224,2024-10-01,644
NWN,98606,2024-05-01,55
PAC, 98902  ,2024-11-01,4018
NWN,98635,2024-12-01,0
PSE,98513,2025-06-01,2688
PSE,98109,2025-06-01,468
NWN,98648,2023-06-01,0
PSE,98383,2022-11-01,1395
PSE,98059,2022-07-01,1906
PSE,98353,2021-10-01,2
PSE,98374,2021-03-01,1604
PSE,98418,2021-10-01,480
PSE,98204,2021-07-01,585
PSE,98070,2024-11-01,663
Avista,99013,2023-11-01,115
NWN,98617,2025-01-01,0
