Utility,Year,Month,Assistance Amount
Avista,2021,1,0.0
Avista,2021,2,0.0
Avista,2021,3,0.0
Avista,2021,4,1147104.0
Avista,2021,5,816575.0
Avista,2021,6,435072.0
Avista,2021,7,308984.0
Avista,2021,8,152938.0
Avista,2021,9,77797.0
Avista,2021,10,240287.0
Avista,2021,11,178414.0
Avista,2021,12,296050.0
Avista,2022,1,374155.0
Avista,2022,2,945972.0
Avista,2022,3,706449.0
Avista,2022,4,875175.0
Avista,2022,5,883473.0
Avista,2022,6,662590.0
Avista,2022,7,582145.0
Avista,2022,8,347457.0
Avista,2022,9,137605.0
Avista,2022,10,108208.0
Avista,2022,11,190594.0
Avista,2022,12,202090.0
Avista,2023,1,632204.0
Avista,2023,2,367537.0
Avista,2023,3,537687.0
Avista,2023,4,651670.0
Avista,2023,5,187168.0
Avista,2023,6,122176.0
Avista,2023,7,203885.0
Avista,2023,8,262757.0
Avista,2023,9,98838.0
Avista,2023,10,31907.0
Avista,2023,11,272404.0
Avista,2024,1,392549.0
Avista,2024,2,467114.0
Avista,2024,3,839366.0
Avista,2024,4,1025152.0
Avista,2024,5,562727.0
Avista,2024,6,699806.0
Avista,2024,7,423832.0
Avista,2024,8,206796.0
Avista,2024,9,57190.0
Avista,2024,10,67956.0
Avista,2024,11,68793.0
Avista,2024,12,166654.0
Avista,2025,1,254852.0
Avista,2025,2,348324.0
Avista,2025,3,264301.0
Avista,2025,4,720999.0
Avista,2025,5,761138.0
Avista,2025,6,553997.0
Avista,2025,7,321979.0
Avista,2025,8,310057.0
Avista,2025,9,148759.0
Avista,2025,10,206616.0
Avista,2025,11,289295.0
Avista,2025,12,429132.0
CNG,2021,1,0.0
CNG,2021,2,0.0
CNG,2021,3,0.0
CNG,2021,4,587332.0
CNG,2021,5,447321.0
CNG,2021,6,224899.0
CNG,2021,7,140131.0
CNG,2021,8,180918.0
CNG,2021,9,427017.0
CNG,2021,10,661866.0
CNG,2021,11,240016.0
CNG,2021,12,518838.0
CNG,2022,1,34958.0
CNG,2022,2,49779.0
CNG,2022,3,50653.0
CNG,2022,4,47527.0
CNG,2022,5,47875.0
CNG,2022,6,42828.0
CNG,2022,7,83351.0
CNG,2022,8,74367.0
CNG,2022,9,28203.0
CNG,2022,10,32388.0
CNG,2022,11,45637.0
CNG,2022,12,27032.0
CNG,2023,1,52745.0
CNG,2023,2,119220.0
CNG,2023,3,102208.0
CNG,2023,4,83221.0
CNG,2023,5,83478.0
CNG,2023,6,90216.0
CNG,2023,7,92736.0
CNG,2023,8,90921.0
CNG,2023,9,63638.0
CNG,2023,10,27168.0
CNG,2023,11,94676.0
CNG,2023,12,26245.0
CNG,2024,1,39607.0
CNG,2024,2,37357.0
CNG,2024,3,32969.0
CNG,2024,4,15240.0
CNG,2024,5,13189.0
CNG,2024,6,9234.0
CNG,2024,7,61201.77
CNG,2024,8,26131.54
CNG,2024,9,1439.86
CNG,2024,10,76155.02
CNG,2024,11,69019.18
CNG,2024,12,81479.0
CNG,2025,1,69887.44
CNG,2025,2,52707.84
CNG,2025,3,93605.66
CNG,2025,4,187640.38
CNG,2025,5,131431.97
CNG,2025,6,37299.94
CNG,2025,7,94623.76
CNG,2025,8,45825.32
CNG,2025,9,2754.0
CNG,2025,10,76642.0
CNG,2025,11,87273.0
CNG,2025,12,113779.0
NWN,2021,1,0.0
NWN,2021,2,0.0
NWN,2021,3,0.0
NWN,2021,4,19705.0
NWN,2021,5,6631.0
NWN,2021,6,9398.0
NWN,2021,7,3146.0
NWN,2021,8,4761.0
NWN,2021,9,1795.0
NWN,2021,10,0.0
NWN,2021,11,1442.0
NWN,2021,12,10733.0
NWN,2022,1,10934.0
NWN,2022,2,7988.0
NWN,2022,3,13199.0
NWN,2022,4,14246.0
NWN,2022,5,9624.0
NWN,2022,6,9314.0
NWN,2022,7,7959.0
NWN,2022,8,11498.0
NWN,2022,9,1163.0
NWN,2022,10,0.0
NWN,2022,11,3326.0
NWN,2022,12,24728.0
NWN,2023,1,26538.0
NWN,2023,2,21979.0
NWN,2023,3,21909.0
NWN,2023,4,17021.0
NWN,2023,5,15082.0
NWN,2023,6,0.0
NWN,2023,7,13408.0
NWN,2023,8,25499.0
NWN,2023,9,0.0
NWN,2023,10,0.0
NWN,2023,11,8095.0
NWN,2023,12,32815.0
NWN,2024,1,30149.0
NWN,2024,2,16761.0
NWN,2024,3,18504.0
NWN,2024,4,16735.0
NWN,2024,5,19915.0
NWN,2024,6,18523.0
NWN,2024,7,10755.0
NWN,2024,8,3687.0
NWN,2024,9,0.0
NWN,2024,10,0.0
NWN,2024,11,3072.0
NWN,2024,12,11675.0
NWN,2025,1,12626.0
NWN,2025,2,10903.0
NWN,2025,3,9627.0
NWN,2025,4,21039.0
NWN,2025,5,17289.0
NWN,2025,6,15497.0
NWN,2025,7,13446.0
NWN,2025,8,4068.0
NWN,2025,9,7770.0
NWN,2025,10,4512.0
NWN,2025,11,8520.0
NWN,2025,12,13775.0
PAC,2021,1,0.0
PAC,2021,2,0.0
PAC,2021,3,0.0
PAC,2021,4,65099.0
PAC,2021,5,41999.0
PAC,2021,6,26429.0
PAC,2021,7,56763.0
PAC,2021,8,77436.0
PAC,2021,9,20069.0
PAC,2021,10,50271.0
PAC,2021,11,19559.0
PAC,2021,12,50819.0
PAC,2022,1,110798.0
PAC,2022,2,231326.0
PAC,2022,3,683558.0
PAC,2022,4,533794.0
PAC,2022,5,185130.0
PAC,2022,6,255624.0
PAC,2022,7,0.0
PAC,2022,8,163566.0
PAC,2022,9,489190.0
PAC,2022,10,109662.0
PAC,2022,11,558883.0
PAC,2022,12,559913.0
PAC,2023,1,667556.0
PAC,2023,2,415697.0
PAC,2023,3,1002213.0
PAC,2023,4,486614.0
PAC,2023,5,317028.0
PAC,2023,6,543448.0
PAC,2023,7,428986.0
PAC,2023,8,775338.0
PAC,2023,9,373931.0
PAC,2023,10,63298.0
PAC,2023,11,254260.0
PAC,2023,12,608866.0
PAC,2024,1,497740.0
PAC,2024,2,134181.0
PAC,2024,3,520412.0
PAC,2024,4,558992.73
PAC,2024,5,390969.72
PAC,2024,6,499876.06
PAC,2024,7,346489.38
PAC,2024,8,373840.24
PAC,2024,9,383680.03
PAC,2024,10,334104.7
PAC,2024,11,177087.7
PAC,2024,12,622927.2
PAC,2025,1,497949.83
PAC,2025,2,558883.17
PAC,2025,3,473877.57
PAC,2025,4,347523.48
PAC,2025,5,824701.65
PAC,2025,6,674223.49
PAC,2025,7,632685.02
PAC,2025,8,371310.72
PAC,2025,9,252317.37
PAC,2025,10,97779.0
PAC,2025,11,310425.0
PAC,2025,12,291646.0
PSE,2021,1,0.0
PSE,2021,2,0.0
PSE,2021,3,0.0
PSE,2021,4,2328767.0
PSE,2021,5,2426557.0
PSE,2021,6,1384352.0
PSE,2021,7,1478486.0
PSE,2021,8,2249875.0
PSE,2021,9,1004941.0
PSE,2021,10,674122.0
PSE,2021,11,764883.0
PSE,2021,12,589829.0
PSE,2022,1,1422416.0
