Utility,Year,Month,Assistance Amount
Avista,2021,1,0.0
Avista,2021,2,0.0
Avista,2021,3,0.0
Avista,2021,4,1048153.0
Avista,2021,5,459594.0
Avista,2021,6,392543.0
Avista,2021,7,183585.0
Avista,2021,8,351418.0
Avista,2021,9,173791.0
Avista,2021,10,371433.0
Avista,2021,11,408491.0
Avista,2021,12,593976.0
Avista,2022,1,337983.0
Avista,2022,2,675989.0
Avista,2022,3,834630.0
Avista,2022,4,1028984.0
Avista,2022,5,430757.0
Avista,2022,6,663514.0
Avista,2022,7,588872.0
Avista,2022,8,483912.0
Avista,2022,9,288435.0
Avista,2022,10,191948.0
Avista,2022,11,1008494.0
Avista,2022,12,435419.0
Avista,2023,1,997600.0
Avista,2023,2,935800.0
Avista,2023,3,1389025.0
Avista,2023,4,1119349.0
Avista,2023,5,1495284.0
Avista,2023,6,1532363.0
Avista,2023,7,597216.0
Avista,2023,8,906921.0
Avista,2023,9,283551.0
Avista,2023,10,1035231.0
Avista,2023,11,1611954.0
Avista,2024,1,3121649.0
Avista,2024,2,2837970.0
Avista,2024,3,2723730.0
Avista,2024,4,2372606.0
Avista,2024,5,1944732.0
Avista,2024,6,1313511.0
Avista,2024,7,1590241.0
Avista,2024,8,1834056.0
Avista,2024,9,1874633.0
Avista,2024,10,1814165.0
Avista,2024,11,2627676.0
Avista,2024,12,3966242.0
Avista,2025,1,4725589.0
Avista,2025,2,5611045.0
Avista,2025,3,4318664.0
Avista,2025,4,3868788.0
Avista,2025,5,2786503.0
Avista,2025,6,2363006.0
Avista,2025,7,2925289.0
Avista,2025,8,2663420.0
Avista,2025,9,2745075.0
Avista,2025,10,2780504.0
Avista,2025,11,3081411.0
Avista,2025,12,4237718.0
CNG,2021,1,0.0
CNG,2021,2,0.0
CNG,2021,3,0.0
CNG,2021,4,137456.0
CNG,2021,5,0.0
CNG,2021,6,0.0
CNG,2021,7,0.0
CNG,2021,8,0.0
CNG,2021,9,0.0
CNG,2021,10,0.0
CNG,2021,11,0.0
CNG,2021,12,0.0
CNG,2022,1,96657.0
CNG,2022,2,52182.0
CNG,2022,3,116744.0
CNG,2022,4,59660.0
CNG,2022,5,62611.0
CNG,2022,6,74739.0
CNG,2022,7,64825.0
CNG,2022,8,52494.0
CNG,2022,9,29715.0
CNG,2022,10,76643.0
CNG,2022,11,101373.0
CNG,2022,12,101757.0
CNG,2023,1,92996.0
CNG,2023,2,151528.0
CNG,2023,3,201853.0
CNG,2023,4,185962.0
CNG,2023,5,116537.0
CNG,2023,6,117376.0
CNG,2023,7,121447.0
CNG,2023,8,86673.0
CNG,2023,9,31348.0
CNG,2023,10,8486.0
CNG,2023,11,55501.0
CNG,2023,12,112036.0
CNG,2024,1,127919.0
CNG,2024,2,157887.0
CNG,2024,3,187236.0
CNG,2024,4,158682.0
CNG,2024,5,144854.0
CNG,2024,6,117193.0
CNG,2024,7,89845.91
CNG,2024,8,76050.37
CNG,2024,9,62097.83
CNG,2024,10,131415.21
CNG,2024,11,213361.27
CNG,2024,12,456157.05
CNG,2025,1,718069.71
CNG,2025,2,897921.73
CNG,2025,3,874975.07
CNG,2025,4,708358.22
CNG,2025,5,512258.63
CNG,2025,6,393782.02
CNG,2025,7,312689.66
CNG,2025,8,263521.66
CNG,2025,9,230592.26
CNG,2025,10,293889.22
CNG,2025,11,484063.0
CNG,2025,12,681162.0
NWN,2021,1,0.0
NWN,2021,2,0.0
NWN,2021,3,0.0
NWN,2021,4,38821.0
NWN,2021,5,30313.0
NWN,2021,6,12448.0
NWN,2021,7,18945.0
NWN,2021,8,10031.0
NWN,2021,9,12594.0
NWN,2021,10,18491.0
NWN,2021,11,43528.0
NWN,2021,12,45049.0
NWN,2022,1,37371.0
NWN,2022,2,41321.0
NWN,2022,3,51594.0
NWN,2022,4,39198.0
NWN,2022,5,37840.0
NWN,2022,6,30414.0
NWN,2022,7,33658.0
NWN,2022,8,4768.0
NWN,2022,9,0.0
NWN,2022,10,21489.0
NWN,2022,11,50260.0
NWN,2022,12,81005.0
NWN,2023,1,65479.0
NWN,2023,2,58715.0
NWN,2023,3,61542.0
NWN,2023,4,40028.0
NWN,2023,5,31731.0
NWN,2023,6,0.0
NWN,2023,7,0.0
NWN,2023,8,0.0
NWN,2023,9,0.0
NWN,2023,10,0.0
NWN,2023,11,90754.0
NWN,2023,12,90007.0
NWN,2024,1,67157.0
NWN,2024,2,73130.0
NWN,2024,3,73154.0
NWN,2024,4,63125.0
NWN,2024,5,41413.0
NWN,2024,6,41638.0
NWN,2024,7,24305.0
NWN,2024,8,2826.0
NWN,2024,9,1902.0
NWN,2024,10,32578.0
NWN,2024,11,62537.0
NWN,2024,12,58902.0
NWN,2025,1,56006.0
NWN,2025,2,50568.0
NWN,2025,3,54327.0
NWN,2025,4,51978.0
NWN,2025,5,47175.0
NWN,2025,6,36576.0
NWN,2025,7,41238.0
NWN,2025,8,10138.0
NWN,2025,9,910.0
NWN,2025,10,24636.0
NWN,2025,11,54123.0
NWN,2025,12,35004.0
PAC,2021,1,0.0
PAC,2021,2,0.0
PAC,2021,3,0.0
PAC,2021,4,4136.0
PAC,2021,5,21304.0
PAC,2021,6,22491.0
PAC,2021,7,33589.0
PAC,2021,8,28405.0
PAC,2021,9,33189.0
PAC,2021,10,98360.0
PAC,2021,11,62163.0
PAC,2021,12,54450.0
PAC,2022,1,0.0
PAC,2022,2,0.0
PAC,2022,3,0.0
PAC,2022,4,0.0
PAC,2022,5,0.0
PAC,2022,6,0.0
PAC,2022,7,0.0
PAC,2022,8,0.0
PAC,2022,9,0.0
PAC,2022,10,0.0
PAC,2022,11,0.0
PAC,2022,12,0.0
PAC,2023,1,0.0
PAC,2023,2,0.0
PAC,2023,3,0.0
PAC,2023,4,0.0
PAC,2023,5,0.0
PAC,2023,6,0.0
PAC,2023,7,0.0
PAC,2023,8,0.0
PAC,2023,9,0.0
PAC,2023,10,0.0
PAC,2023,11,0.0
PAC,2023,12,0.0
PAC,2024,1,0.0
PAC,2024,2,0.0
PAC,2024,3,0.0
PAC,2024,4,0.0
PAC,2024,5,0.0
PAC,2024,6,0.0
PAC,2024,7,0.0
PAC,2024,8,0.0
PAC,2024,9,0.0
PAC,2024,10,0.0
PAC,2024,11,0.0
PAC,2024,12,0.0
PAC,2025,1,0.0
PAC,2025,2,0.0
PAC,2025,3,0.0
PAC,2025,4,0.0
PAC,2025,5,0.0
PAC,2025,6,0.0
PAC,2025,7,0.0
PAC,2025,8,0.0
PAC,2025,9,0.0
PAC,2025,10,0.0
PAC,2025,11,0.0
PAC,2025,12,0.0
PSE,2021,1,0.0
PSE,2021,2,0.0
PSE,2021,3,0.0
PSE,2021,4,1300201.0
PSE,2021,5,981061.0
PSE,2021,6,797883.0
PSE,2021,7,775737.0
PSE,2021,8,600547.0
PSE,2021,9,820546.0
PSE,2021,10,101349.0
PSE,2021,11,713497.0
PSE,2021,12,142439.0
PSE,2022,1,2442725.0
PSE,2022,2,2231024.0
PSE,2022,3,946680.0
