Utility,Year,Month,Zip Code,Bill Assist Customer Count
Avista,2025,2,99102,79
Avista,2025,6,99341,101
Avista,2025,9,99122,237
Avista,2025,1,99001,568
Avista,2025,8,99039,20
Avista,2025,5,99025,268
Avista,2025,9,99029,107
Avista,2025,1,99148,322
Avista,2025,8,99137,70
Avista,2025,9,99126,138
Avista,2025,6,99040,185
Avista,2025,7,99341,98
Avista,2025,1,99179,43
Avista,2025,5,99176,10
Avista,2025,7,99149,34
Avista,2025,4,99160,43
Avista,2025,1,99224,1703
Avista,2025,2,99170,37
Avista,2025,1,99122,239
Avista,2025,4,99008,55
Avista,2025,6,99344,1439
Avista,2025,4,99103,46
Avista,2025,7,99030,84
Avista,2025,8,99157,113
Avista,2025,4,99224,1802
Avista,2025,1,99018,32
Avista,2025,2,99125,54
Avista,2025,2,99109,458
Avista,2025,9,99403,2354
Avista,2025,2,99137,24
Avista,2025,1,99167,100
Avista,2025,3,99216,2239
Avista,2025,2,99130,101
Avista,2025,9,99141,762
Avista,2025,7,99034,19
Avista,2025,7,99026,197
Avista,2025,8,99102,85
Avista,2025,1,99218,1392
Avista,2025,1,99029,107
Avista,2025,9,99212,2863
Avista,2025,1,99164,1
Avista,2025,7,99032,104
Avista,2025,7,99114,1563
Avista,2025,8,99151,32
Avista,2025,9,99031,42
Avista,2025,8,99146,6
Avista,2025,1,99223,2911
Avista,2025,8,99223,3018
Avista,2025,4,99027,697
Avista,2025,6,99111,385
Avista,2025,2,99031,43
Avista,2025,2,99021,502
Avista,2025,5,99341,101
Avista,2025,8,99020,8
Avista,2025,9,99157,112
Avista,2025,7,99113,33
Avista,2025,5,99223,3065
Avista,2025,5,99205,6160
Avista,2025,1,99114,1542
Avista,2025,2,99371,38
Avista,2025,6,99117,41
Avista,2025,4,99037,367
Avista,2025,9,99163,2007
Avista,2025,3,98648,40
Avista,2025,4,99033,143
Avista,2025,5,99012,97
Avista,2025,3,99006,841
Avista,2025,5,99158,61
Avista,2025,1,99031,42
Avista,2025,6,99029,110
Avista,2025,7,99344,1520
Avista,2025,3,99176,9
Avista,2025,2,99008,53
Avista,2025,7,99207,5767
Avista,2025,6,99164,1
Avista,2025,2,99022,555
Avista,2025,3,99202,2888
Avista,2025,2,99223,2661
Avista,2025,1,99005,338
Avista,2025,6,99037,368
Avista,2025,2,99208,4138
Avista,2025,9,99134,85
Avista,2025,9,99012,96
Avista,2025,9,99208,4557
Avista,2025,7,99146,4
Avista,2025,8,99023,5
Avista,2025,5,99122,246
Avista,2025,4,99114,1603
Avista,2025,8,99018,34
Avista,2025,3,99005,349
Avista,2025,6,99159,122
Avista,2025,3,99101,204
Avista,2025,3,99143,74
Avista,2025,9,99039,20
Avista,2025,1,99006,804
Avista,2025,8,99224,1529
Avista,2025,4,99109,493
Avista,2025,1,99201,2368
Avista,2025,3,99126,146
Avista,2025,6,99114,1577
Avista,2025,3,99163,2577
Avista,2025,9,99216,2217
Avista,2025,3,99110,65
Avista,2025,3,99125,55
Avista,2025,4,99102,83
Avista,2025,6,99130,105
Avista,2025,3,99151,34
Avista,2025,3,99208,6069
Avista,2025,6,99170,87
Avista,2025,6,99030,80
Avista,2025,7,99021,640
Avista,2025,1,99021,585
Avista,2025,8,99036,2
Avista,2025,7,99016,1525
Avista,2025,2,99203,1423
Avista,2025,4,99171,103
Avista,2025,8,99025,267
Avista,2025,4,99179,47
Avista,2025,2,99176,1
Avista,2025,9,99151,30
Avista,2025,7,99148,325
Avista,2025,1,99212,2741
Avista,2025,8,99019,749
Avista,2025,4,99126,147
Avista,2025,6,99141,787
Avista,2025,2,99224,1451
Avista,2025,3,99149,35
Avista,2025,4,99018,35
Avista,2025,8,99034,19
Avista,2025,3,99403,2312
Avista,2025,1,99158,61
Avista,2025,7,99167,100
Avista,2025,4,99143,73
Avista,2025,5,99005,359
Avista,2025,8,99170,98
Avista,2025,4,99020,8
Avista,2025,7,99141,784
Avista,2025,5,99164,1
Avista,2025,4,99204,1185
Avista,2025,3,99102,81
Avista,2025,3,99001,586
Avista,2025,8,98648,43
Avista,2025,4,99012,96
Avista,2025,7,99039,20
Avista,2025,9,99223,3028
Avista,2025,4,99326,19
Avista,2025,8,99033,138
Avista,2025,7,99174,11
Avista,2025,1,99138,301
Avista,2025,9,99004,290
Avista,2025,7,99212,2841
Avista,2025,8,99016,1519
Avista,2025,7,99004,293
Avista,2025,6,99009,178
Avista,2025,3,99114,1601
Avista,2025,2,99030,78
Avista,2025,1,99181,324
Avista,2025,5,99102,84
Avista,2025,9,99138,292
Avista,2025,9,99167,67
Avista,2025,2,99029,110
Avista,2025,4,99031,44
Avista,2025,6,99012,98
Avista,2025,4,99223,3037
Avista,2025,8,99159,117
Avista,2025,6,99033,142
Avista,2025,8,99113,32
Avista,2025,3,99019,738
Avista,2025,1,99037,325
Avista,2025,6,99022,595
Avista,2025,9,99037,366
Avista,2025,5,99018,34
Avista,2025,1,99034,18
Avista,2025,7,99008,50
Avista,2025,7,99109,471
Avista,2025,2,99014,16
Avista,2025,2,99218,1118
Avista,2025,9,99218,1504
Avista,2025,1,98620,113
Avista,2025,2,99146,5
Avista,2025,5,99169,263
Avista,2025,7,99185,136
Avista,2025,6,99176,1
Avista,2025,8,99109,398
Avista,2025,8,99014,17
Avista,2025,4,99004,294
Avista,2025,1,99160,44
Avista,2025,4,99158,61
Avista,2025,2,99117,39
Avista,2025,8,99021,645
Avista,2025,6,99403,2386
Avista,2025,5,99143,75
Avista,2025,9,99159,117
Avista,2025,6,99207,5840
Avista,2025,7,99157,114
Avista,2025,3,99031,45
Avista,2025,9,99018,34
Avista,2025,7,99125,55
Avista,2025,5,99032,109
Avista,2025,5,99146,4
Avista,2025,1,98648,36
Avista,2025,7,99151,33
Avista,2025,9,99170,86
Avista,2025,9,99158,60
Avista,2025,6,99113,33
Avista,2025,3,99167,103
Avista,2025,1,99102,78
Avista,2025,9,99148,325
Avista,2025,1,99009,176
Avista,2025,4,99205,6156
Avista,2025,6,99148,334
Avista,2025,2,99025,252
Avista,2025,6,99205,6117
Avista,2025,3,99111,380
Avista,2025,6,99036,3
Avista,2025,9,99203,1497
Avista,2025,1,99169,250
Avista,2025,8,99169,262
Avista,2025,5,99026,200
Avista,2025,3,99029,111
Avista,2025,6,99138,301
Avista,2025,4,99176,10
Avista,2025,6,99131,22
Avista,2025,7,99027,690
Avista,2025,1,99207,5652
Avista,2025,5,99008,55
Avista,2025,9,99019,495
Avista,2025,6,99027,449
Avista,2025,8,99126,138
Avista,2025,4,99218,1490
Avista,2025,2,99174,13
Avista,2025,3,99185,135
Avista,2025,4,99159,122
Avista,2025,7,99012,96
Avista,2025,5,99023,6
Avista,2025,2,99005,325
Avista,2025,3,98620,118
Avista,2025,2,99149,1
Avista,2025,7,99138,292
Avista,2025,6,99020,8
Avista,2025,6,99169,263
Avista,2025,3,99033,142
Avista,2025,8,99218,1467
Avista,2025,9,99006,608
Avista,2025,1,99159,118
Avista,2025,2,99341,98
Avista,2025,6,99003,255
Avista,2025,6,99224,1844
Avista,2025,8,99032,106
Avista,2025,3,99179,44
Avista,2025,9,99173,290
Avista,2025,4,99104,1
Avista,2025,8,99344,1397
Avista,2025,4,99021,635
Avista,2025,1,99134,77
Avista,2025,4,99110,63
Avista,2025,7,99402,122
Avista,2025,9,99181,297
Avista,2025,2,99126,140
Avista,2025,7,99033,138
Avista,2025,4,99101,207
Avista,2025,2,99113,31
Avista,2025,6,98648,43
Avista,2025,3,99174,13
Avista,2025,7,99206,2829
Avista,2025,2,99039,19
Avista,2025,9,99033,138
Avista,2025,1,99205,5873
Avista,2025,3,99013,291
Avista,2025,3,99134,81
Avista,2025,8,99001,565
Avista,2025,7,99371,36
Avista,2025,6,99018,34
Avista,2025,1,99151,32
Avista,2025,6,99173,290
Avista,2025,9,99025,262
Avista,2025,1,99341,97
Avista,2025,9,99143,75
Avista,2025,5,99161,143
Avista,2025,3,99207,5808
Avista,2025,3,99004,288
Avista,2025,2,98620,114
Avista,2025,1,99036,1
Avista,2025,7,99005,349
Avista,2025,8,99141,777
Avista,2025,4,99036,3
Avista,2025,7,99006,861
Avista,2025,8,99205,5846
Avista,2025,4,99181,348
Avista,2025,9,99130,102
Avista,2025,9,99402,121
Avista,2025,7,99110,66
Avista,2025,7,99014,17
Avista,2025,1,99202,2808
Avista,2025,2,99128,13
Avista,2025,5,99138,306
Avista,2025,7,99126,141
Avista,2025,2,99202,2815
Avista,2025,2,99207,5714
Avista,2025,4,99029,108
Avista,2025,8,99131,14
Avista,2025,2,99138,303
Avista,2025,6,99031,44
Avista,2025,6,99157,119
Avista,2025,2,99173,226
Avista,2025,3,99371,38
Avista,2025,7,99023,6
Avista,2025,9,99005,337
Avista,2025,5,99171,105
Avista,2025,3,99122,245
Avista,2025,2,99134,77
Avista,2025,6,99208,4578
Avista,2025,9,99125,56
Avista,2025,8,99037,362
Avista,2025,1,99013,278
Avista,2025,3,99109,490
Avista,2025,4,99170,98
Avista,2025,5,99174,13
Avista,2025,5,99224,1828
Avista,2025,7,99205,6092
Avista,2025,8,99128,14
Avista,2025,7,99181,334
Avista,2025,4,98620,120
Avista,2025,6,99008,54
Avista,2025,4,99185,136
Avista,2025,9,99176,1
Avista,2025,4,99148,332
Avista,2025,7,99403,2358
Avista,2025,1,99146,5
Avista,2025,4,99032,108
Avista,2025,6,99014,17
Avista,2025,8,99130,103
Avista,2025,5,99185,137
Avista,2025,5,99141,812
Avista,2025,9,99164,1
Avista,2025,8,99403,1789
Avista,2025,3,99146,5
Avista,2025,4,99157,121
Avista,2025,5,99181,349
Avista,2025,7,99159,115
Avista,2025,7,99201,2336
Avista,2025,5,99103,47
Avista,2025,1,99130,98
Avista,2025,3,99141,813
Avista,2025,9,99341,98
Avista,2025,2,99185,134
Avista,2025,9,99217,2227
Avista,2025,5,99163,2647
Avista,2025,8,99148,321
Avista,2025,3,99201,2414
Avista,2025,1,99157,115
Avista,2025,7,99020,8
Avista,2025,1,99117,41
Avista,2025,2,99141,714
Avista,2025,4,99026,191
Avista,2025,7,99129,155
Avista,2025,6,99109,486
Avista,2025,8,99022,503
Avista,2025,7,99029,107
Avista,2025,4,99019,755
Avista,2025,7,99170,100
Avista,2025,1,99403,2234
Avista,2025,5,99030,80
Avista,2025,7,99101,192
Avista,2025,1,99113,29
Avista,2025,6,99019,497
