Utility,Year,Month,Zip Code,Collections Accounts Customer Count
Avista,2025,1,98620,2
Avista,2025,1,99001,5
Avista,2025,1,99003,1
Avista,2025,1,99004,6
Avista,2025,1,99005,6
Avista,2025,1,99006,5
Avista,2025,1,99009,1
Avista,2025,1,99012,1
Avista,2025,1,99013,1
Avista,2025,1,99016,19
Avista,2025,1,99019,10
Avista,2025,1,99021,2
Avista,2025,1,99022,16
Avista,2025,1,99025,3
Avista,2025,1,99027,4
Avista,2025,1,99029,3
Avista,2025,1,99030,1
Avista,2025,1,99032,3
Avista,2025,1,99037,5
Avista,2025,1,99040,1
Avista,2025,1,99101,3
Avista,2025,1,99110,1
Avista,2025,1,99111,3
Avista,2025,1,99114,12
Avista,2025,1,99122,5
Avista,2025,1,99129,3
Avista,2025,1,99130,2
Avista,2025,1,99137,1
Avista,2025,1,99138,3
Avista,2025,1,99141,9
Avista,2025,1,99148,1
Avista,2025,1,99157,1
Avista,2025,1,99159,3
Avista,2025,1,99161,1
Avista,2025,1,99163,55
Avista,2025,1,99167,1
Avista,2025,1,99169,5
Avista,2025,1,99170,1
Avista,2025,1,99173,2
Avista,2025,1,99181,3
Avista,2025,1,99185,1
Avista,2025,1,99201,49
Avista,2025,1,99202,41
Avista,2025,1,99203,14
Avista,2025,1,99204,23
Avista,2025,1,99205,81
Avista,2025,1,99206,34
Avista,2025,1,99207,97
Avista,2025,1,99208,119
Avista,2025,1,99212,45
Avista,2025,1,99216,45
Avista,2025,1,99217,29
Avista,2025,1,99218,21
Avista,2025,1,99223,42
Avista,2025,1,99224,29
Avista,2025,1,99344,15
Avista,2025,1,99402,4
Avista,2025,1,99403,52
Avista,2025,2,98620,3
Avista,2025,2,99001,10
Avista,2025,2,99003,4
Avista,2025,2,99004,1
Avista,2025,2,99005,4
Avista,2025,2,99006,11
Avista,2025,2,99008,3
Avista,2025,2,99009,2
Avista,2025,2,99013,6
Avista,2025,2,99016,11
Avista,2025,2,99019,6
Avista,2025,2,99021,6
Avista,2025,2,99022,5
Avista,2025,2,99025,2
Avista,2025,2,99026,1
Avista,2025,2,99027,5
Avista,2025,2,99029,1
Avista,2025,2,99033,3
Avista,2025,2,99034,1
Avista,2025,2,99037,4
Avista,2025,2,99040,1
Avista,2025,2,99102,1
Avista,2025,2,99109,1
Avista,2025,2,99110,1
Avista,2025,2,99114,15
Avista,2025,2,99122,2
Avista,2025,2,99126,1
Avista,2025,2,99129,2
Avista,2025,2,99134,1
Avista,2025,2,99141,6
Avista,2025,2,99148,5
Avista,2025,2,99159,2
Avista,2025,2,99160,2
Avista,2025,2,99163,46
Avista,2025,2,99169,4
Avista,2025,2,99170,1
Avista,2025,2,99173,4
Avista,2025,2,99201,47
Avista,2025,2,99202,51
Avista,2025,2,99203,9
Avista,2025,2,99204,23
Avista,2025,2,99205,42
Avista,2025,2,99206,35
Avista,2025,2,99207,72
Avista,2025,2,99208,60
Avista,2025,2,99212,27
Avista,2025,2,99216,29
Avista,2025,2,99217,29
Avista,2025,2,99218,14
Avista,2025,2,99223,34
Avista,2025,2,99224,33
Avista,2025,2,99341,1
Avista,2025,2,99344,21
Avista,2025,2,99402,4
Avista,2025,2,99403,27
Avista,2025,3,98620,3
Avista,2025,3,98648,2
Avista,2025,3,99001,13
Avista,2025,3,99003,3
Avista,2025,3,99004,4
Avista,2025,3,99005,11
Avista,2025,3,99006,11
Avista,2025,3,99009,3
Avista,2025,3,99012,3
Avista,2025,3,99013,3
Avista,2025,3,99016,16
Avista,2025,3,99019,12
Avista,2025,3,99021,12
Avista,2025,3,99022,5
Avista,2025,3,99025,2
Avista,2025,3,99027,4
Avista,2025,3,99029,4
Avista,2025,3,99030,1
Avista,2025,3,99032,1
Avista,2025,3,99034,2
Avista,2025,3,99037,7
Avista,2025,3,99101,3
Avista,2025,3,99102,2
Avista,2025,3,99109,1
Avista,2025,3,99110,3
Avista,2025,3,99111,3
Avista,2025,3,99113,1
Avista,2025,3,99114,18
Avista,2025,3,99117,1
Avista,2025,3,99122,2
Avista,2025,3,99126,3
Avista,2025,3,99138,4
Avista,2025,3,99141,8
Avista,2025,3,99157,2
Avista,2025,3,99159,1
Avista,2025,3,99161,1
Avista,2025,3,99163,56
Avista,2025,3,99167,2
Avista,2025,3,99169,2
Avista,2025,3,99173,4
Avista,2025,3,99181,6
Avista,2025,3,99185,2
Avista,2025,3,99201,58
Avista,2025,3,99202,57
Avista,2025,3,99203,17
Avista,2025,3,99204,26
Avista,2025,3,99205,84
Avista,2025,3,99206,34
Avista,2025,3,99207,123
Avista,2025,3,99208,92
Avista,2025,3,99212,56
Avista,2025,3,99216,40
Avista,2025,3,99217,48
Avista,2025,3,99218,20
Avista,2025,3,99223,44
Avista,2025,3,99224,32
Avista,2025,3,99341,2
Avista,2025,3,99344,20
Avista,2025,3,99402,7
Avista,2025,3,99403,38
Avista,2025,4,98620,4
Avista,2025,4,98648,1
Avista,2025,4,99001,8
Avista,2025,4,99003,3
Avista,2025,4,99004,9
