Utility,Year,Month,Zip Code,Collections Revenue Amount
Avista,2025,9,99114,-900.97
Avista,2025,11,99167,-36.41
Avista,2025,2,99207,-4320.16
Avista,2025,5,99019,-2052.17
Avista,2025,12,99206,-904.7
Avista,2025,2,99217,-2171.19
Avista,2025,11,99212,-1954.53
Avista,2025,2,99169,-92.52
Avista,2025,5,99212,-1474.67
Avista,2025,4,99163,-1896.41
Avista,2025,10,99212,-3440.5
Avista,2025,3,99217,-1969.04
Avista,2025,8,99402,-657.01
Avista,2025,9,99001,-1437.54
Avista,2025,2,99137,-32.88
Avista,2025,5,99101,-387.84
Avista,2025,2,99218,-971.22
Avista,2025,9,99019,-1414.65
Avista,2025,4,99122,-50.0
Avista,2025,8,99030,-50.0
Avista,2025,3,99008,-246.98
Avista,2025,12,99207,-3810.23
Avista,2025,2,99202,-1229.37
Avista,2025,3,99040,-30.0
Avista,2025,9,99030,-50.0
Avista,2025,11,99224,-3216.55
Avista,2025,5,99181,-48.74
Avista,2025,1,99170,-361.6
Avista,2025,3,99159,-150.0
Avista,2025,10,99148,-25.0
Avista,2025,6,99216,-596.81
Avista,2025,4,99223,-2107.08
Avista,2025,11,99203,-270.8
Avista,2025,11,99138,-35.25
Avista,2025,1,99029,-210.0
Avista,2025,10,99170,-250.0
Avista,2025,7,99201,-2350.7
Avista,2025,6,99019,-1094.62
Avista,2025,11,99181,-204.04
Avista,2025,6,99163,-1375.49
Avista,2025,2,99110,-428.77
Avista,2025,12,99371,-160.0
Avista,2025,10,99201,-2216.64
Avista,2025,8,99022,-1146.55
Avista,2025,11,99141,-511.96
Avista,2025,1,99403,-1175.71
Avista,2025,12,99009,-25.0
Avista,2025,11,99110,-47.69
Avista,2025,1,99205,-4350.71
Avista,2025,9,99141,-637.89
Avista,2025,10,99141,-191.88
Avista,2025,12,99030,-813.62
Avista,2025,10,98620,-168.47
Avista,2025,12,99169,-50.0
Avista,2025,1,99224,-682.21
Avista,2025,5,99218,-359.77
Avista,2025,6,99012,-415.96
Avista,2025,3,99114,-2505.59
Avista,2025,8,99208,-7143.94
Avista,2025,9,99204,-1244.01
Avista,2025,10,99371,-100.0
Avista,2025,4,99029,-375.65
Avista,2025,11,99208,-5310.86
Avista,2025,12,98620,-146.53
Avista,2025,2,99037,-683.71
Avista,2025,11,99001,-403.71
Avista,2025,12,99006,-225.0
Avista,2025,9,99202,-5003.71
Avista,2025,4,99019,-135.07
Avista,2025,9,99025,-257.68
Avista,2025,3,99179,-74.31
Avista,2025,2,99171,-190.68
Avista,2025,8,99212,-1351.74
Avista,2025,7,99022,-50.0
Avista,2025,1,99218,-1592.05
Avista,2025,2,99159,-346.45
Avista,2025,4,99201,-2162.23
Avista,2025,8,99223,-2392.82
Avista,2025,2,99212,-1707.09
Avista,2025,7,99125,-225.9
Avista,2025,3,99019,-1229.93
Avista,2025,1,99005,-150.64
Avista,2025,5,99224,-1323.07
Avista,2025,2,99163,-1743.35
Avista,2025,3,99031,-764.29
Avista,2025,8,99006,-160.83
Avista,2025,7,99027,-1489.46
Avista,2025,1,99204,-806.79
Avista,2025,11,99223,-2469.26
Avista,2025,7,99344,-664.24
Avista,2025,6,99218,-1482.93
Avista,2025,4,99206,-858.78
Avista,2025,10,99223,-907.07
