Utility,Year,Month,Zip Code,Disconnection Notice Count
Avista,2025,1,98620,21
Avista,2025,1,98648,8
Avista,2025,1,98857,1
Avista,2025,1,99001,90
Avista,2025,1,99003,51
Avista,2025,1,99004,77
Avista,2025,1,99005,91
Avista,2025,1,99006,160
Avista,2025,1,99008,15
Avista,2025,1,99009,40
Avista,2025,1,99011,1
Avista,2025,1,99012,24
Avista,2025,1,99013,84
Avista,2025,1,99014,5
Avista,2025,1,99016,316
Avista,2025,1,99018,4
Avista,2025,1,99019,168
Avista,2025,1,99020,1
Avista,2025,1,99021,122
Avista,2025,1,99022,138
Avista,2025,1,99023,7
Avista,2025,1,99025,52
Avista,2025,1,99026,52
Avista,2025,1,99027,139
Avista,2025,1,99029,30
Avista,2025,1,99030,17
Avista,2025,1,99031,11
Avista,2025,1,99032,17
Avista,2025,1,99033,28
Avista,2025,1,99034,3
Avista,2025,1,99037,59
Avista,2025,1,99039,5
Avista,2025,1,99040,44
Avista,2025,1,99101,43
Avista,2025,1,99102,12
Avista,2025,1,99103,6
Avista,2025,1,99109,91
Avista,2025,1,99110,19
Avista,2025,1,99111,70
Avista,2025,1,99113,6
Avista,2025,1,99114,284
Avista,2025,1,99117,7
Avista,2025,1,99122,41
Avista,2025,1,99125,10
Avista,2025,1,99126,26
Avista,2025,1,99128,4
Avista,2025,1,99129,21
Avista,2025,1,99130,21
Avista,2025,1,99131,2
Avista,2025,1,99134,19
Avista,2025,1,99137,11
Avista,2025,1,99138,47
Avista,2025,1,99141,133
Avista,2025,1,99143,8
Avista,2025,1,99146,2
Avista,2025,1,99148,65
Avista,2025,1,99149,6
Avista,2025,1,99151,6
Avista,2025,1,99157,23
Avista,2025,1,99158,17
Avista,2025,1,99159,17
Avista,2025,1,99160,6
Avista,2025,1,99161,28
Avista,2025,1,99163,434
Avista,2025,1,99167,14
Avista,2025,1,99169,69
Avista,2025,1,99170,11
Avista,2025,1,99171,15
Avista,2025,1,99173,74
Avista,2025,1,99174,3
Avista,2025,1,99176,2
Avista,2025,1,99179,10
Avista,2025,1,99181,63
Avista,2025,1,99185,29
Avista,2025,1,99201,426
Avista,2025,1,99202,517
Avista,2025,1,99203,357
Avista,2025,1,99204,228
Avista,2025,1,99205,1105
Avista,2025,1,99206,519
Avista,2025,1,99207,1027
Avista,2025,1,99208,1127
Avista,2025,1,99212,518
Avista,2025,1,99216,350
Avista,2025,1,99217,418
Avista,2025,1,99218,287
Avista,2025,1,99223,530
Avista,2025,1,99224,387
