Utility,Year,Month,Zip Code,Number of Disconnects
Avista,2025,2,99208,27
Avista,2025,6,99204,33
Avista,2025,3,99032,4
Avista,2025,7,99143,6
Avista,2025,1,99134,3
Avista,2025,2,99403,8
Avista,2025,9,99149,1
Avista,2025,3,99126,1
Avista,2025,9,99208,110
Avista,2025,9,99371,1
Avista,2025,6,99009,1
Avista,2025,8,99219,20
Avista,2025,1,99158,1
Avista,2025,6,99026,1
Avista,2025,9,99217,33
Avista,2025,5,99016,22
Avista,2025,3,99027,15
Avista,2025,8,99110,4
Avista,2025,4,99217,51
Avista,2025,8,99224,32
Avista,2025,3,99030,1
Avista,2025,9,99129,1
Avista,2025,5,99167,2
Avista,2025,2,99223,10
Avista,2025,6,99031,1
Avista,2025,4,99223,69
Avista,2025,1,99019,17
Avista,2025,6,99138,5
Avista,2025,4,99402,4
Avista,2025,1,99030,2
Avista,2025,4,99206,52
Avista,2025,9,99031,2
Avista,2025,7,99026,4
Avista,2025,1,99130,4
Avista,2025,4,99029,1
Avista,2025,8,99129,1
Avista,2025,6,99173,2
Avista,2025,4,99030,1
Avista,2025,3,99114,37
Avista,2025,1,99004,4
Avista,2025,5,99201,46
Avista,2025,1,99371,2
Avista,2025,5,99212,52
Avista,2025,4,98620,2
Avista,2025,7,99202,53
Avista,2025,9,99144,1
Avista,2025,5,99025,5
Avista,2025,8,99143,2
Avista,2025,5,98620,21
Avista,2025,9,99019,1
Avista,2025,7,99218,24
Avista,2025,6,99201,36
Avista,2025,2,99016,4
Avista,2025,3,99148,6
Avista,2025,3,99110,2
Avista,2025,4,99403,54
Avista,2025,5,99005,6
Avista,2025,4,99202,79
Avista,2025,1,99402,5
Avista,2025,4,99163,89
Avista,2025,5,99161,6
Avista,2025,5,99021,6
Avista,2025,7,99117,22
Avista,2025,4,99109,4
Avista,2025,1,99403,71
Avista,2025,9,99185,3
Avista,2025,9,99036,1
Avista,2025,3,99001,12
Avista,2025,4,99173,4
Avista,2025,7,99008,9
Avista,2025,1,99001,5
Avista,2025,4,99181,5
Avista,2025,8,99149,3
Avista,2025,1,99212,61
Avista,2025,3,99212,81
Avista,2025,9,99117,11
Avista,2025,9,99020,14
Avista,2025,2,99141,2
Avista,2025,4,99005,10
Avista,2025,9,99128,1
Avista,2025,2,99001,2
Avista,2025,6,99170,1
Avista,2025,1,99039,1
Avista,2025,3,98648,1
Avista,2025,6,99216,29
Avista,2025,6,99122,9
Avista,2025,5,99207,107
Avista,2025,7,99141,6
Avista,2025,5,99344,25
Avista,2025,7,99164,53
Avista,2025,6,99033,1
Avista,2025,1,99207,143
Avista,2025,6,99016,27
Avista,2025,1,99016,29
Avista,2025,4,99103,2
Avista,2025,6,99129,5
Avista,2025,2,99004,2
Avista,2025,6,99117,2
Avista,2025,7,99128,2
Avista,2025,7,99110,4
Avista,2025,3,99207,171
Avista,2025,5,99117,2
Avista,2025,3,99111,9
Avista,2025,8,99218,36
Avista,2025,1,99025,1
Avista,2025,9,99110,4
Avista,2025,7,99171,1
Avista,2025,4,99171,1
Avista,2025,1,99203,23
Avista,2025,5,99008,1
Avista,2025,7,99013,2
Avista,2025,1,99111,5
Avista,2025,4,99216,43
Avista,2025,7,99009,1
Avista,2025,4,99004,6
Avista,2025,5,99141,9
Avista,2025,9,99018,18
Avista,2025,4,99371,1
Avista,2025,1,99137,1
Avista,2025,1,99005,5
Avista,2025,5,99029,2
Avista,2025,8,99202,35
Avista,2025,3,99173,8
Avista,2025,7,99203,46
Avista,2025,1,99201,46
Avista,2025,2,99163,11
Avista,2025,1,99003,8
Avista,2025,8,99103,1
Avista,2025,9,99171,2
Avista,2025,6,99212,45
Avista,2025,2,99006,6
Avista,2025,6,99021,9
Avista,2025,1,99344,34
Avista,2025,3,99026,3
Avista,2025,7,99201,3
