Utility,Year,Month,Zip Code,Vintage,Arrearage_Amount
Avista,2025,3,99158,90 Days +,1178.5
Avista,2025,8,99008,Total Arrearages,4347.88
Avista,2025,1,99125,60 Days,762.16
Avista,2025,4,99122,60 Days,9391.28
Avista,2025,7,99201,60 Days,70580.24
Avista,2025,3,99170,Total Arrearages,2852.74
Avista,2025,9,99125,Total Arrearages,3247.33
Avista,2025,7,99125,Total Arrearages,2596.08
Avista,2025,3,99122,30 Days,1951.53
Avista,2025,3,99160,90 Days +,0.0
Avista,2025,9,99134,60 Days,4068.81
Avista,2025,6,99158,60 Days,1081.17
Avista,2025,1,99036,Total Arrearages,0.0
Avista,2025,3,99212,30 Days,28505.24
Avista,2025,9,99113,60 Days,211.99
Avista,2025,6,99029,60 Days,2400.0
Avista,2025,5,99130,30 Days,966.62
Avista,2025,7,99174,30 Days,31.8
Avista,2025,9,99039,30 Days,438.87
Avista,2025,1,99109,60 Days,1384.83
Avista,2025,5,99001,30 Days,3909.58
Avista,2025,3,99018,90 Days +,1275.91
Avista,2025,3,99326,90 Days +,0.0
Avista,2025,8,99203,60 Days,34066.85
Avista,2025,3,99009,Total Arrearages,13966.23
Avista,2025,1,99021,60 Days,4732.49
Avista,2025,5,99033,60 Days,1604.28
Avista,2025,2,99207,90 Days +,90623.04
Avista,2025,8,99008,60 Days,377.67
Avista,2025,1,99151,90 Days +,0.0
Avista,2025,2,99117,90 Days +,0.0
Avista,2025,8,99005,90 Days +,1927.53
Avista,2025,3,99160,60 Days,148.53
Avista,2025,4,99146,60 Days,25.0
Avista,2025,3,99018,60 Days,737.42
Avista,2025,8,99131,Total Arrearages,435.91
Avista,2025,5,99167,90 Days +,856.85
Avista,2025,7,99161,30 Days,1268.08
Avista,2025,3,99144,90 Days +,0.0
Avista,2025,4,99141,90 Days +,10536.83
Avista,2025,9,99173,Total Arrearages,23916.36
Avista,2025,8,99217,Total Arrearages,132950.84
Avista,2025,4,99014,60 Days,1588.56
Avista,2025,2,99008,30 Days,311.63
Avista,2025,8,99204,60 Days,44701.57
Avista,2025,4,99036,Total Arrearages,0.0
Avista,2025,7,99129,90 Days +,2790.67
Avista,2025,1,99114,Total Arrearages,34479.05
Avista,2025,6,99008,60 Days,1464.18
Avista,2025,3,99161,30 Days,1169.75
Avista,2025,8,99102,Total Arrearages,3326.42
Avista,2025,3,99037,90 Days +,5731.05
Avista,2025,1,99181,Total Arrearages,8485.58
Avista,2025,5,99117,Total Arrearages,5040.87
Avista,2025,3,99403,60 Days,8956.48
Avista,2025,8,98648,Total Arrearages,1196.43
Avista,2025,2,99125,60 Days,201.76
Avista,2025,2,99027,90 Days +,8497.33
Avista,2025,6,99203,90 Days +,21559.13
Avista,2025,5,99170,60 Days,1474.34
Avista,2025,2,99016,Total Arrearages,32371.6
Avista,2025,3,99013,Total Arrearages,33405.73
Avista,2025,8,99034,90 Days +,727.66
Avista,2025,5,99201,60 Days,105025.43
Avista,2025,1,99019,Total Arrearages,9974.3
Avista,2025,4,99204,30 Days,10375.18
Avista,2025,3,99161,60 Days,1548.94
Avista,2025,4,99131,Total Arrearages,0.0
Avista,2025,4,99156,Total Arrearages,0.0
Avista,2025,8,99141,Total Arrearages,23128.08
Avista,2025,7,99224,30 Days,6603.08
Avista,2025,2,99170,Total Arrearages,1356.9
Avista,2025,1,99034,90 Days +,322.65
Avista,2025,8,99137,60 Days,2114.54
Avista,2025,2,99129,90 Days +,2024.31
