Utility,Year,Month,Zip Code,Late Fee Amount
PSE,2025,10,98579,0.0
PAC,2023,11,99328,0.0
PSE,2022,7,98121,0.0
Avista,2023,9,99402,0.0
Avista,2023,2,99036,0.0
CNG,2020,10,98220,0.0
PSE,2024,3,98283,0.0
PSE,2024,6,98007,0.0
NWN,2024,3,98125,0.0
CNG,2020,6,98274,0.0
PSE,2021,2,98512,0.0
Avista,2022,3,99114,0.0
PSE,2022,3,98110,0.0
NWN,2022,2,98675,0.0
PSE,2023,3,98506,0.0
PSE,2022,4,98092,0.0
CNG,2022,11,98312,0.0
PSE,2020,7,98387,0.0
NWN,2023,9,98660,0.0
NWN,2020,4,98026,0.0
NWN,2025,2,98604,0.0
Avista,2022,2,99206,0.0
PSE,2023,3,98008,0.0
PSE,2022,8,98406,0.0
NWN,2022,8,98607,0.0
PSE,2024,1,98225,0.0
PAC,2024,6,99348,0.0
PSE,2020,10,98597,0.0
CNG,2020,8,98632,0.0
NWN,2021,11,98666,0.0
NWN,2024,2,98026,0.0
NWN,2023,3,98682,0.0
PSE,2023,6,98008,0.0
PSE,2020,6,98272,0.0
PSE,2024,7,98106,0.0
Avista,2021,2,99131,0.0
PSE,2021,6,98065,0.0
Avista,2025,7,99036,0.0
Avista,2021,7,99167,0.0
NWN,2021,9,98605,0.0
Avista,2021,10,99341,0.0
PSE,2021,12,98116,0.0
Avista,2024,8,99111,0.0
CNG,2022,7,98233,0.0
PSE,2021,6,98118,0.0
PSE,2021,10,98051,0.0
CNG,2024,11,98248,0.0
Avista,2021,12,99103,0.0
PSE,2023,6,98030,0.0
Avista,2022,9,99030,0.0
PAC,2020,6,99350,0.0
PSE,2022,8,98392,0.0
Avista,2024,5,99146,0.0
Avista,2021,7,99018,0.0
Avista,2020,7,98620,0.0
PSE,2021,4,98244,0.0
CNG,2024,4,99354,0.0
CNG,2025,11,98345,0.0
NWN,2020,10,97388,0.0
NWN,2025,2,98662,0.0
NWN,2023,9,98127,0.0
PSE,2021,12,98372,0.0
PAC,2023,12,98908,0.0
CNG,2025,10,98295,0.0
PSE,2020,7,98244,0.0
PSE,2024,3,98226,0.0
CNG,2023,5,98274,0.0
PSE,2022,6,98332,0.0
PSE,2021,2,98446,0.0
Avista,2022,8,99014,0.0
PAC,2024,11,98937,0.0
Avista,2024,5,99217,0.0
PSE,2024,12,98034,0.0
CNG,2020,12,98257,0.0
CNG,2024,11,98563,0.0
PSE,2023,8,98408,0.0
NWN,2023,3,98671,0.0
CNG,2025,4,99323,0.0
PAC,2023,6,98947,0.0
CNG,2020,7,98367,0.0
Avista,2021,10,99159,0.0
CNG,2023,3,98948,0.0
PSE,2024,4,98499,0.0
Avista,2024,1,99205,0.0
Avista,2024,4,99179,0.0
PAC,2020,4,99329,0.0
NWN,2024,4,98662,0.0
Avista,2022,6,99036,0.0
PSE,2025,6,98446,0.0
PAC,2022,8,98948,0.0
Avista,2021,5,99011,0.0
CNG,2023,6,99323,0.0
NWN,2021,12,98642,0.0
CNG,2024,6,98276,0.0
CNG,2021,5,98233,0.0
PSE,2023,7,98233,0.0
Avista,2020,4,99185,0.0
CNG,2023,11,99337,0.0
NWN,2023,5,98604,0.0
PSE,2025,2,98342,0.0
Avista,2022,3,99218,0.0
NWN,2022,4,98307,0.0
CNG,2023,7,98282,0.0
CNG,2021,5,98277,0.0
NWN,2023,9,97388,0.0
PSE,2022,5,98371,0.0
Avista,2025,4,99207,0.0
PAC,2023,1,98936,0.0
PSE,2022,8,98391,0.0
PSE,2025,6,98112,0.0
CNG,2020,7,98295,0.0
CNG,2023,8,98295,0.0
CNG,2021,8,98370,0.0
Avista,2025,6,99151,0.0
CNG,2022,3,98276,0.0
PSE,2025,10,98596,0.0
PSE,2023,7,98110,0.0
CNG,2024,6,98244,0.0
CNG,2021,11,98311,0.0
PSE,2022,7,98374,0.0
PSE,2024,5,98109,0.0
PSE,2023,9,98244,0.0
PSE,2023,8,98257,0.0
Avista,2020,5,99160,0.0
CNG,2022,1,98902,0.0
PSE,2021,8,98372,0.0
NWN,2025,7,98606,0.0
CNG,2023,10,99301,0.0
PSE,2021,2,98409,0.0
PSE,2022,8,98342,0.0
CNG,2024,8,98528,0.0
PSE,2025,12,98033,0.0
CNG,2022,4,98802,0.0
Avista,2022,10,99181,0.0
PSE,2021,4,98531,0.0
CNG,2021,7,98563,0.0
PSE,2022,9,98372,0.0
PSE,2023,10,98270,0.0
