Utility,Year,Month,Zip Code,Payment Agreement Customer Count
Avista,2025,5,99114,135
Avista,2025,12,99009,18
Avista,2025,1,99170,7
Avista,2025,11,99033,4
Avista,2025,10,99004,26
Avista,2025,7,99008,4
Avista,2025,3,99223,288
Avista,2025,3,99143,7
Avista,2025,3,99016,197
Avista,2025,11,99101,15
Avista,2025,8,99131,1
Avista,2025,1,99003,9
Avista,2025,8,99205,472
Avista,2025,3,99113,6
Avista,2025,10,99138,17
Avista,2025,12,99013,24
Avista,2025,1,99171,10
Avista,2025,8,99026,15
Avista,2025,1,99006,55
Avista,2025,5,99218,194
Avista,2025,12,99032,8
Avista,2025,3,99021,69
Avista,2025,11,99326,2
Avista,2025,6,99027,58
Avista,2025,11,99205,416
Avista,2025,6,99179,3
Avista,2025,5,99403,189
Avista,2025,7,99102,14
Avista,2025,4,99208,656
Avista,2025,1,99218,123
Avista,2025,2,99130,14
Avista,2025,6,99001,72
Avista,2025,2,99212,229
Avista,2025,12,99101,16
Avista,2025,3,99023,1
Avista,2025,5,99021,56
Avista,2025,10,99111,22
Avista,2025,11,99201,149
Avista,2025,10,99202,238
Avista,2025,1,99176,2
Avista,2025,5,99208,586
Avista,2025,11,99151,1
Avista,2025,3,99034,3
Avista,2025,8,99021,49
Avista,2025,5,99173,36
Avista,2025,5,99018,4
Avista,2025,5,99203,209
Avista,2025,2,99216,213
Avista,2025,7,99114,120
Avista,2025,3,99161,8
Avista,2025,6,99003,23
Avista,2025,4,99034,3
Avista,2025,1,99151,1
Avista,2025,3,99402,20
Avista,2025,4,99402,19
Avista,2025,2,99021,54
Avista,2025,4,99019,99
Avista,2025,11,99102,5
Avista,2025,12,99111,24
Avista,2025,6,99204,127
Avista,2025,11,99202,204
Avista,2025,11,99014,2
Avista,2025,12,99128,1
Avista,2025,6,99111,31
Avista,2025,3,99122,27
Avista,2025,12,99122,21
Avista,2025,1,99113,6
Avista,2025,5,99160,2
Avista,2025,7,99034,2
Avista,2025,9,99027,45
Avista,2025,11,99034,1
Avista,2025,1,99029,8
Avista,2025,4,99109,41
Avista,2025,12,99018,4
Avista,2025,10,99109,20
Avista,2025,1,99026,15
Avista,2025,7,99130,12
Avista,2025,2,99114,134
Avista,2025,4,99134,11
Avista,2025,7,99341,12
Avista,2025,1,99022,64
Avista,2025,1,99163,171
Avista,2025,2,99160,2
Avista,2025,12,99224,213
Avista,2025,1,99012,12
Avista,2025,7,99203,144
Avista,2025,5,99110,9
Avista,2025,2,99185,15
Avista,2025,3,99205,571
Avista,2025,7,99138,17
Avista,2025,9,99201,213
Avista,2025,3,99025,36
Avista,2025,2,99170,5
Avista,2025,9,99103,3
Avista,2025,10,99025,27
Avista,2025,7,99117,1
Avista,2025,1,99344,99
Avista,2025,5,99102,3
Avista,2025,1,99161,7
Avista,2025,10,99223,274
Avista,2025,3,99102,8
Avista,2025,8,99023,1
Avista,2025,4,99341,7
Avista,2025,6,99163,209
Avista,2025,11,99403,180
Avista,2025,8,99223,216
Avista,2025,11,99031,3
Avista,2025,9,99109,34
Avista,2025,6,99037,45
Avista,2025,1,99037,44
Avista,2025,11,99130,8
Avista,2025,5,99019,101
Avista,2025,6,99033,10
Avista,2025,1,99201,182
Avista,2025,2,99206,266
Avista,2025,12,99012,9
Avista,2025,11,99161,14
Avista,2025,5,99134,9
Avista,2025,6,99141,62
Avista,2025,3,99103,5
Avista,2025,4,99013,33
Avista,2025,6,99102,2
Avista,2025,8,99025,27
Avista,2025,10,99143,4
Avista,2025,10,99371,2
Avista,2025,5,99122,19
Avista,2025,1,99030,12
Avista,2025,2,99169,15
Avista,2025,12,99223,391
Avista,2025,6,99206,284
Avista,2025,1,99138,14
Avista,2025,12,99403,249
Avista,2025,12,99003,29
Avista,2025,8,99202,210
Avista,2025,8,99111,23
Avista,2025,5,99159,15
Avista,2025,3,99117,2
Avista,2025,5,99161,12
Avista,2025,11,99027,37
Avista,2025,4,99003,23
Avista,2025,6,99159,9
Avista,2025,8,99173,22
Avista,2025,8,99109,27
Avista,2025,8,99014,3
Avista,2025,12,99134,5
Avista,2025,1,99403,175
Avista,2025,6,99207,463
Avista,2025,10,99212,252
Avista,2025,5,99001,70
Avista,2025,1,98620,13
Avista,2025,3,99129,13
Avista,2025,10,98648,2
Avista,2025,4,99103,2
Avista,2025,10,99170,9
Avista,2025,2,99149,3
Avista,2025,8,99203,143
Avista,2025,2,99138,16
Avista,2025,8,99204,106
Avista,2025,9,99113,2
Avista,2025,5,99167,6
Avista,2025,6,99016,166
