Utility,Year,Month,Zip Code,Reconnection Fee Amount
Avista,2020,1,98620,0.0
Avista,2020,2,98620,0.0
Avista,2020,3,98620,0.0
Avista,2020,3,98648,0.0
Avista,2020,3,98857,0.0
Avista,2020,3,99001,0.0
Avista,2020,3,99003,0.0
Avista,2020,3,99004,0.0
Avista,2020,3,99005,0.0
Avista,2020,3,99006,0.0
Avista,2020,3,99008,0.0
Avista,2020,3,99009,0.0
Avista,2020,3,99011,0.0
Avista,2020,3,99012,0.0
Avista,2020,3,99013,0.0
Avista,2020,3,99014,0.0
Avista,2020,3,99016,0.0
Avista,2020,3,99018,0.0
Avista,2020,3,99019,0.0
Avista,2020,3,99020,0.0
Avista,2020,3,99021,0.0
Avista,2020,3,99022,0.0
Avista,2020,3,99023,0.0
Avista,2020,3,99025,0.0
Avista,2020,3,99026,0.0
Avista,2020,3,99027,0.0
Avista,2020,3,99029,0.0
Avista,2020,3,99030,0.0
Avista,2020,3,99031,0.0
Avista,2020,3,99032,0.0
Avista,2020,3,99033,0.0
Avista,2020,3,99034,0.0
Avista,2020,3,99036,0.0
Avista,2020,3,99037,0.0
Avista,2020,3,99039,0.0
Avista,2020,3,99040,0.0
Avista,2020,3,99101,0.0
Avista,2020,3,99102,0.0
Avista,2020,3,99103,0.0
Avista,2020,3,99104,0.0
Avista,2020,3,99107,0.0
Avista,2020,3,99109,0.0
Avista,2020,3,99110,0.0
Avista,2020,3,99111,0.0
Avista,2020,3,99113,0.0
Avista,2020,3,99114,0.0
Avista,2020,3,99117,0.0
Avista,2020,3,99122,0.0
Avista,2020,3,99125,0.0
Avista,2020,3,99126,0.0
Avista,2020,3,99128,0.0
Avista,2020,3,99129,0.0
Avista,2020,3,99130,0.0
Avista,2020,3,99131,0.0
Avista,2020,3,99134,0.0
Avista,2020,3,99137,0.0
Avista,2020,3,99138,0.0
Avista,2020,3,99141,0.0
Avista,2020,3,99143,0.0
Avista,2020,3,99144,0.0
Avista,2020,3,99146,0.0
Avista,2020,3,99148,0.0
Avista,2020,3,99149,0.0
Avista,2020,3,99151,0.0
Avista,2020,3,99156,0.0
Avista,2020,3,99157,0.0
Avista,2020,3,99158,0.0
Avista,2020,3,99159,0.0
Avista,2020,3,99160,0.0
Avista,2020,3,99161,0.0
Avista,2020,3,99163,0.0
Avista,2020,3,99164,0.0
Avista,2020,3,99167,0.0
Avista,2020,3,99169,0.0
Avista,2020,3,99170,0.0
Avista,2020,3,99171,0.0
Avista,2020,3,99173,0.0
Avista,2020,3,99174,0.0
Avista,2020,3,99176,0.0
Avista,2020,3,99179,0.0
Avista,2020,3,99181,0.0
Avista,2020,3,99185,0.0
Avista,2020,3,99201,0.0
Avista,2020,3,99202,0.0
Avista,2020,3,99203,0.0
Avista,2020,3,99204,0.0
Avista,2020,3,99205,0.0
Avista,2020,3,99206,0.0
Avista,2020,3,99207,0.0
Avista,2020,3,99208,0.0
Avista,2020,3,99212,0.0
Avista,2020,3,99216,0.0
Avista,2020,3,99217,0.0
Avista,2020,3,99218,0.0
Avista,2020,3,99219,0.0
Avista,2020,3,99220,0.0
Avista,2020,3,99223,0.0
Avista,2020,3,99224,0.0
Avista,2020,3,99228,0.0
Avista,2020,3,99260,0.0
Avista,2020,3,99326,0.0
Avista,2020,3,99335,0.0
Avista,2020,3,99341,0.0
Avista,2020,3,99344,0.0
Avista,2020,3,99371,0.0
Avista,2020,3,99402,0.0
Avista,2020,3,99403,0.0
Avista,2020,4,98620,0.0
Avista,2020,4,98648,0.0
Avista,2020,4,98857,0.0
Avista,2020,4,99001,0.0
Avista,2020,4,99003,0.0
Avista,2020,4,99004,0.0
Avista,2020,4,99005,0.0
Avista,2020,4,99006,0.0
Avista,2020,4,99008,0.0
Avista,2020,4,99009,0.0
Avista,2020,4,99011,0.0
Avista,2020,4,99012,0.0
Avista,2020,4,99013,0.0
Avista,2020,4,99014,0.0
Avista,2020,4,99016,0.0
Avista,2020,4,99018,0.0
Avista,2020,4,99019,0.0
Avista,2020,4,99020,0.0
Avista,2020,4,99021,0.0
Avista,2020,4,99022,0.0
Avista,2020,4,99023,0.0
Avista,2020,4,99025,0.0
Avista,2020,4,99026,0.0
Avista,2020,4,99027,0.0
Avista,2020,4,99029,0.0
Avista,2020,4,99030,0.0
Avista,2020,4,99031,0.0
Avista,2020,4,99032,0.0
Avista,2020,4,99033,0.0
Avista,2020,4,99034,0.0
Avista,2020,4,99036,0.0
Avista,2020,4,99037,0.0
Avista,2020,4,99039,0.0
Avista,2020,4,99040,0.0
Avista,2020,4,99101,0.0
Avista,2020,4,99102,0.0
Avista,2020,4,99103,0.0
Avista,2020,4,99104,0.0
Avista,2020,4,99107,0.0
Avista,2020,4,99109,0.0
Avista,2020,4,99110,0.0
Avista,2020,4,99111,0.0
Avista,2020,4,99113,0.0
Avista,2020,4,99114,0.0
Avista,2020,4,99117,0.0
Avista,2020,4,99122,0.0
Avista,2020,4,99125,0.0
Avista,2020,4,99126,0.0
Avista,2020,4,99128,0.0
Avista,2020,4,99129,0.0
Avista,2020,4,99130,0.0
Avista,2020,4,99131,0.0
Avista,2020,4,99134,0.0
Avista,2020,4,99137,0.0
Avista,2020,4,99138,0.0
Avista,2020,4,99141,0.0
Avista,2020,4,99143,0.0
Avista,2020,4,99144,0.0
Avista,2020,4,99146,0.0
Avista,2020,4,99148,0.0
Avista,2020,4,99149,0.0
Avista,2020,4,99151,0.0
Avista,2020,4,99156,0.0
Avista,2020,4,99157,0.0
Avista,2020,4,99158,0.0
Avista,2020,4,99159,0.0
Avista,2020,4,99160,0.0
Avista,2020,4,99161,0.0
Avista,2020,4,99163,0.0
Avista,2020,4,99164,0.0
Avista,2020,4,99167,0.0
Avista,2020,4,99169,0.0
Avista,2020,4,99170,0.0
Avista,2020,4,99171,0.0
Avista,2020,4,99173,0.0
Avista,2020,4,99174,0.0
Avista,2020,4,99176,0.0
Avista,2020,4,99179,0.0
Avista,2020,4,99181,0.0
Avista,2020,4,99185,0.0
Avista,2020,4,99201,0.0
Avista,2020,4,99202,0.0
Avista,2020,4,99203,0.0
Avista,2020,4,99204,0.0
Avista,2020,4,99205,0.0
Avista,2020,4,99206,0.0
Avista,2020,4,99207,0.0
Avista,2020,4,99208,0.0
Avista,2020,4,99212,0.0
Avista,2020,4,99216,0.0
Avista,2020,4,99217,0.0
Avista,2020,4,99218,0.0
Avista,2020,4,99219,0.0
Avista,2020,4,99220,0.0
Avista,2020,4,99223,0.0
Avista,2020,4,99224,0.0
Avista,2020,4,99228,0.0
Avista,2020,4,99260,0.0
Avista,2020,4,99326,0.0
Avista,2020,4,99335,0.0
Avista,2020,4,99341,0.0
Avista,2020,4,99344,0.0
Avista,2020,4,99371,0.0
Avista,2020,4,99402,0.0
Avista,2020,4,99403,0.0
Avista,2020,5,98620,0.0
Avista,2020,5,98648,0.0
Avista,2020,5,98857,0.0
Avista,2020,5,99001,0.0
Avista,2020,5,99003,0.0
Avista,2020,5,99004,0.0
Avista,2020,5,99005,0.0
Avista,2020,5,99006,0.0
Avista,2020,5,99008,0.0
Avista,2020,5,99009,0.0
Avista,2020,5,99011,0.0
Avista,2020,5,99012,0.0
Avista,2020,5,99013,0.0
Avista,2020,5,99014,0.0
Avista,2020,5,99016,0.0
Avista,2020,5,99018,0.0
Avista,2020,5,99019,0.0
Avista,2020,5,99020,0.0
Avista,2020,5,99021,0.0
Avista,2020,5,99022,0.0
Avista,2020,5,99023,0.0
Avista,2020,5,99025,0.0
Avista,2020,5,99026,0.0
Avista,2020,5,99027,0.0
Avista,2020,5,99029,0.0
Avista,2020,5,99030,0.0
Avista,2020,5,99031,0.0
Avista,2020,5,99032,0.0
Avista,2020,5,99033,0.0
Avista,2020,5,99034,0.0
Avista,2020,5,99036,0.0
Avista,2020,5,99037,0.0
Avista,2020,5,99039,0.0
Avista,2020,5,99040,0.0
Avista,2020,5,99101,0.0
Avista,2020,5,99102,0.0
Avista,2020,5,99103,0.0
