Utility,Year,Month,Zip Code,Uncollectible Arrearage Amount
Avista,2025,5,99169,5304.57
Avista,2025,8,99341,981.04
Avista,2025,3,99403,15688.75
Avista,2025,6,99181,12275.53
Avista,2025,8,99009,5546.28
Avista,2025,2,99006,3091.64
Avista,2025,1,99208,40774.76
Avista,2025,6,99344,8740.64
Avista,2025,6,99008,1488.96
Avista,2025,9,99101,2025.28
Avista,2025,5,99117,0.0
Avista,2025,5,99217,20250.48
Avista,2025,3,99205,39988.99
Avista,2025,1,98620,289.68
Avista,2025,1,99159,552.26
Avista,2025,4,99110,2646.8
Avista,2025,7,99001,9239.74
Avista,2025,2,99114,3523.78
Avista,2025,9,99204,11815.31
Avista,2025,5,99016,8456.47
Avista,2025,4,99019,4381.77
Avista,2025,9,99169,3752.9
Avista,2025,2,99224,9257.29
Avista,2025,9,99006,7473.67
Avista,2025,8,99134,2554.06
Avista,2025,2,99201,13706.27
Avista,2025,1,99202,16468.76
Avista,2025,3,99402,2797.9
Avista,2025,6,98620,951.88
Avista,2025,9,99001,3060.43
Avista,2025,1,99201,14867.28
Avista,2025,3,99202,22466.64
Avista,2025,2,99170,266.81
Avista,2025,5,99004,1485.98
Avista,2025,3,99019,4692.95
Avista,2025,6,99025,6109.21
Avista,2025,1,99021,424.5
Avista,2025,4,99201,34274.8
Avista,2025,7,99167,543.3
Avista,2025,9,99138,2052.13
Avista,2025,7,99021,7762.36
Avista,2025,4,99001,3321.21
Avista,2025,1,99167,27.17
Avista,2025,5,99019,4600.97
Avista,2025,6,99179,546.57
Avista,2025,1,99037,612.36
Avista,2025,2,99163,11962.69
Avista,2025,3,99212,23597.8
Avista,2025,6,99029,4238.47
Avista,2025,3,99163,18368.05
Avista,2025,9,99013,19592.36
Avista,2025,9,99008,588.27
Avista,2025,8,99203,14273.22
Avista,2025,4,99204,12766.84
Avista,2025,7,99181,2933.37
Avista,2025,7,99012,3227.38
Avista,2025,7,99005,3886.19
Avista,2025,3,99029,1990.7
Avista,2025,7,99402,1382.28
Avista,2025,9,99160,321.21
Avista,2025,4,99163,33648.76
Avista,2025,7,99004,2927.56
Avista,2025,7,99122,810.35
Avista,2025,2,99040,2226.03
Avista,2025,6,99201,45774.65
Avista,2025,8,99033,1734.4
Avista,2025,6,99138,2545.53
Avista,2025,5,99170,950.52
Avista,2025,7,99204,24975.27
Avista,2025,7,99179,526.74
Avista,2025,1,99218,7982.16
Avista,2025,3,99206,10043.9
Avista,2025,6,99013,1918.32
Avista,2025,3,99113,820.01
Avista,2025,8,99117,477.54
Avista,2025,4,99216,18104.3
Avista,2025,7,99031,1837.22
Avista,2025,2,99207,24934.22
Avista,2025,5,99021,4529.65
Avista,2025,5,99022,5569.28
Avista,2025,4,99111,1418.54
Avista,2025,1,99169,1765.88
Avista,2025,8,99027,1443.05
Avista,2025,9,99012,932.64
Avista,2025,5,99224,13506.09
Avista,2025,1,99163,12689.84
Avista,2025,6,99030,600.29
Avista,2025,9,99102,263.16
Avista,2025,6,99122,4327.56
Avista,2025,6,99159,2195.8
